,Dataset,Subject,Retest,Ix,Fullname,Sxfm,Dxfm,Clustering,Degree,Homophilic,Homotopic
17746,UM,0026141,2,2218,UM_0026141_2,raw,ptr,(0.42924675887234187+0j),34.449505840071886,0.9727293212853317,0.1769936462178382
17747,UM,0026141,2,2218,UM_0026141_2,raw,combat,(0.17930745000055648+0.00237905180485231j),13.616077043573558,0.8602912165938748,0.38546177261129994
17748,UM,0026141,2,2218,UM_0026141_2,ptr,raw,(0.42523398987292+0j),34.510715394968415,0.8732432938939639,0.5334521174299311
17749,UM,0026141,2,2218,UM_0026141_2,ptr,zscore,(0.21205332784378145+0.1060375337306132j),0.33742216485613147,0.5630539425106409,0.2723587296216652
17750,UM,0026141,2,2218,UM_0026141_2,ptr,ptr,(0.4266557772568218+0j),34.46996592890521,0.9573903749527821,0.18688532779228645
17751,UM,0026141,2,2218,UM_0026141_2,ptr,combat,(0.3811755116837741+0.003719876146889751j),34.79441150074466,0.8704168900691748,0.3784521590880373
17752,UM,0026124,2,2219,UM_0026124_2,raw,raw,(0.16870742009793388+0j),13.280762903874287,0.7530364622624818,0.47755410461765596
17753,UM,0026124,2,2219,UM_0026124_2,raw,zscore,(0.15414262542044233+0.08144401406619374j),-10.502591177780777,0.4572051502062786,0.18711843417158547
17754,UM,0026124,2,2219,UM_0026124_2,raw,ptr,(0.3878689024699767+0j),31.62785265049417,0.9872597328962232,0.09182750205862583
17755,UM,0026124,2,2219,UM_0026124_2,raw,combat,(0.16806615892959487+0.002298283699481459j),12.53631477960525,0.7817245134305335,0.5091825794758899
17756,UM,0026124,2,2219,UM_0026124_2,ptr,raw,(0.42367571592562636+0j),34.51071539496842,0.7530364622624818,0.47755410461765596
17757,UM,0026124,2,2219,UM_0026124_2,ptr,zscore,(0.22513728745406938+0.11467679880526048j),-0.009785074135000344,0.4347907895902787,0.18393270171737486
17758,UM,0026124,2,2219,UM_0026124_2,ptr,ptr,(0.42531213384912675+0j),34.34085993799909,0.9815351089930069,0.12722056657452557
17759,UM,0026124,2,2219,UM_0026124_2,ptr,combat,(0.3746458688640232+0.0033987155929306673j),34.6399457378778,0.7732867270911414,0.4427046035216597
17760,UM,0026142,1,2220,UM_0026142_1,raw,raw,(0.16465771744155056+0j),13.49667979317143,0.9808315181592826,0.43331382186389145
17761,UM,0026142,1,2220,UM_0026142_1,raw,zscore,(0.14975164798341037+0.08009305305607664j),-8.721120342692538,0.788660806736301,0.11592564260511357
17762,UM,0026142,1,2220,UM_0026142_1,raw,ptr,(0.39228062389593543+0j),32.129559748427674,0.9990000308886916,0.08327603026978364
17763,UM,0026142,1,2220,UM_0026142_1,raw,combat,(0.1706473026972044+0.0033071344297779188j),12.76482603719617,0.9778332082842542,0.38455095086909713
17764,UM,0026142,1,2220,UM_0026142_1,ptr,raw,(0.4237207237903067+0j),34.51071539496842,0.9808315181592826,0.43331382186389145
17765,UM,0026142,1,2220,UM_0026142_1,ptr,zscore,(0.21855099809418954+0.11594553940465721j),0.03326248008233144,0.8308528709601797,0.1189432988070554
17766,UM,0026142,1,2220,UM_0026142_1,ptr,ptr,(0.4237118966806287+0j),34.319820695996604,0.9985973514626221,0.10989007462358635
17767,UM,0026142,1,2220,UM_0026142_1,ptr,combat,(0.37199408576021126+0.003988420533328393j),34.69259370724318,0.9799015867855077,0.3591962329066932
17768,UM,0026125,1,2221,UM_0026125_1,raw,raw,(0.17004195549471404+0j),13.490618657522855,0.9999998635858834,0.9999295369995509
17769,UM,0026125,1,2221,UM_0026125_1,raw,zscore,(0.15338946109461354+0.08048850133069903j),-8.185961832835266,0.9999822198203849,0.9997796890402005
