,Sxfm,Dxfm,Dataset1,Dataset2,Average
288,raw,raw,IPCAS_4,NYU_2,0.35515799280411975
289,raw,raw,IPCAS_4,SWU1,0.3651284653702992
290,raw,raw,IPCAS_4,SWU2,0.3424123503951368
291,raw,raw,IPCAS_4,SWU3,0.3461959879069767
292,raw,raw,IPCAS_4,SWU4,0.34204258815367167
293,raw,raw,IPCAS_4,UPSM_1,0.36582753000000007
294,raw,raw,IPCAS_4,UWM,0.3681150478793256
295,raw,raw,IPCAS_4,Utah1,0.36846179666492235
296,raw,raw,IPCAS_4,XHCUMS,0.365915053227181
297,raw,raw,IPCAS_5,BMB_1,0.35819480458635083
298,raw,raw,IPCAS_5,BNU1,0.36609994743948737
299,raw,raw,IPCAS_5,BNU2,0.35494021691437433
300,raw,raw,IPCAS_5,BNU3,0.3585262114285712
301,raw,raw,IPCAS_5,HNU1,0.3432323170960188
302,raw,raw,IPCAS_5,IACAS_1,0.3255820939956147
303,raw,raw,IPCAS_5,IBATRT,0.3885025028940252
304,raw,raw,IPCAS_5,IPCAS_1,0.33794514712018137
305,raw,raw,IPCAS_5,IPCAS_2,0.33478310993908017
306,raw,raw,IPCAS_5,IPCAS_3,0.35107591955782325
307,raw,raw,IPCAS_5,IPCAS_4,0.36268639958413557
308,raw,raw,IPCAS_5,IPCAS_5,0.36130449766233763
309,raw,raw,IPCAS_5,IPCAS_6,0.32114866832286754
310,raw,raw,IPCAS_5,IPCAS_7,0.32563286189617596
311,raw,raw,IPCAS_5,IPCAS_8,0.3888677218367347
312,raw,raw,IPCAS_5,JHNU,0.3477894573177841
313,raw,raw,IPCAS_5,MRN_1,0.34743533794063075
314,raw,raw,IPCAS_5,NYU_1,0.363245413223332
315,raw,raw,IPCAS_5,NYU_2,0.3551817495289023
316,raw,raw,IPCAS_5,SWU1,0.3637992504291231
317,raw,raw,IPCAS_5,SWU2,0.34528496893877547
318,raw,raw,IPCAS_5,SWU3,0.3483954490670553
319,raw,raw,IPCAS_5,SWU4,0.34275985139965304
320,raw,raw,IPCAS_5,UPSM_1,0.364935366336183
321,raw,raw,IPCAS_5,UWM,0.365820325117962
322,raw,raw,IPCAS_5,Utah1,0.3661361226944484
323,raw,raw,IPCAS_5,XHCUMS,0.36502423032284487
324,raw,raw,IPCAS_6,BMB_1,0.32872015342857147
325,raw,raw,IPCAS_6,BNU1,0.33355198738025826
326,raw,raw,IPCAS_6,BNU2,0.3255576849960754
327,raw,raw,IPCAS_6,BNU3,0.3320406109698239
328,raw,raw,IPCAS_6,HNU1,0.32828211954892733
329,raw,raw,IPCAS_6,IACAS_1,0.28829263407178035
330,raw,raw,IPCAS_6,IBATRT,0.35209691603866794
331,raw,raw,IPCAS_6,IPCAS_1,0.30998590710084045
332,raw,raw,IPCAS_6,IPCAS_2,0.29916414746060455
333,raw,raw,IPCAS_6,IPCAS_3,0.3152495891861031
334,raw,raw,IPCAS_6,IPCAS_4,0.3142442840219779
335,raw,raw,IPCAS_6,IPCAS_5,0.32114866832286754
336,raw,raw,IPCAS_6,IPCAS_6,0.29170106014058955
337,raw,raw,IPCAS_6,IPCAS_7,0.3021189918154392
338,raw,raw,IPCAS_6,IPCAS_8,0.32916231875791685
339,raw,raw,IPCAS_6,JHNU,0.308189801259864
340,raw,raw,IPCAS_6,MRN_1,0.3141125876954826
341,raw,raw,IPCAS_6,NYU_1,0.32499758685714275
342,raw,raw,IPCAS_6,NYU_2,0.344724718038723
343,raw,raw,IPCAS_6,SWU1,0.33353999950395474
