,Sxfm,Dxfm,Column,Row,Value
138,raw,raw,69,2,0.517239
139,raw,raw,70,2,0.30232
140,raw,raw,1,3,0.5795
141,raw,raw,2,3,0.386444
142,raw,raw,3,3,0.0
143,raw,raw,4,3,0.216509
144,raw,raw,5,3,0.482357
145,raw,raw,6,3,0.316664
146,raw,raw,7,3,0.2991
147,raw,raw,8,3,0.358452
148,raw,raw,9,3,0.323597
149,raw,raw,10,3,0.443185
150,raw,raw,11,3,0.343861
151,raw,raw,12,3,0.227339
152,raw,raw,13,3,0.48551
153,raw,raw,14,3,0.268394
154,raw,raw,15,3,0.412962
155,raw,raw,16,3,0.315402
156,raw,raw,17,3,0.349059
157,raw,raw,18,3,0.356225
158,raw,raw,19,3,0.510709
159,raw,raw,20,3,0.24809
160,raw,raw,21,3,0.615116
161,raw,raw,22,3,0.276136
162,raw,raw,23,3,0.323492
163,raw,raw,24,3,0.574333
164,raw,raw,25,3,0.274499
165,raw,raw,26,3,0.538029
166,raw,raw,27,3,0.602958
167,raw,raw,28,3,0.659104
168,raw,raw,29,3,0.582076
169,raw,raw,30,3,0.505323
170,raw,raw,31,3,0.491697
171,raw,raw,32,3,0.587918
172,raw,raw,33,3,0.004427
173,raw,raw,34,3,0.257188
174,raw,raw,35,3,0.613839
175,raw,raw,36,3,0.670133
176,raw,raw,37,3,0.420151
177,raw,raw,38,3,0.91031
178,raw,raw,39,3,0.195495
179,raw,raw,40,3,0.524969
180,raw,raw,41,3,0.446316
181,raw,raw,42,3,0.173708
182,raw,raw,43,3,0.472185
183,raw,raw,44,3,0.2576
184,raw,raw,45,3,0.290831
185,raw,raw,46,3,0.390745
186,raw,raw,47,3,0.385563
187,raw,raw,48,3,0.476182
188,raw,raw,49,3,0.297285
189,raw,raw,50,3,0.461505
190,raw,raw,51,3,0.223408
191,raw,raw,52,3,0.412719
192,raw,raw,53,3,0.322028
193,raw,raw,54,3,0.436424
194,raw,raw,55,3,0.271403
195,raw,raw,56,3,0.406537
196,raw,raw,57,3,0.232872
197,raw,raw,58,3,0.185829
198,raw,raw,59,3,0.673247
199,raw,raw,60,3,0.280336
200,raw,raw,61,3,0.551517
201,raw,raw,62,3,0.529362
202,raw,raw,63,3,0.579694
203,raw,raw,64,3,0.308728
204,raw,raw,65,3,0.472676
205,raw,raw,66,3,0.528579
206,raw,raw,67,3,0.485013
207,raw,raw,68,3,0.087876
208,raw,raw,69,3,0.165064
209,raw,raw,70,3,0.43123
210,raw,raw,1,4,0.381118
211,raw,raw,2,4,0.570773
