,Dataset1,Dataset2,Sxfm,Dxfm,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex,Effect.Age,pvalue.Age
16,UPSM1,Utah1,raw,raw,0.12162099450523041,2.83050245662673e-09,0.03806549762893436,0.0006135304329561093,0.08662416420881738,4.5920111244038174e-07
17,UPSM1,Utah1,raw,ptr,-0.04957060391898491,1.0,0.014570390978066892,0.02380409005991447,0.04267465544347346,0.00030584522007169916
18,UPSM1,Utah1,raw,zscore,-0.04118966212578482,1.0,0.014972593689659653,0.022299405670783423,0.04455333914160471,0.00023056010452513346
19,UPSM1,Utah1,raw,combat,-0.01949483634200381,1.0,0.01950377412923844,0.010787059106781403,0.052329265722084795,7.202655047722723e-05
20,UPSM1,SWU4,raw,raw,0.4166181232415147,3.062162731061209e-65,0.022446723243329154,4.559667780880079e-05,0.3217331351699002,7.618911423284504e-51
21,UPSM1,SWU4,raw,ptr,-0.018699092763411522,1.0,0.026458108359811498,1.05186343477134e-05,-0.0036385001193511585,1.0
22,UPSM1,SWU4,raw,zscore,-0.01594122359674026,1.0,0.02746002491360827,7.303021218947825e-06,-0.0018498137155879848,1.0
23,UPSM1,SWU4,raw,combat,-0.010808971770149918,1.0,0.027496051397481,7.207905296131953e-06,0.0036971364495106095,0.05871880769923593
24,UPSM1,UWM,raw,raw,0.4759385146562171,4.786219080597523e-31,0.026209087521065398,0.0038812679594088743,0.38480145512237407,1.8462169623922512e-25
25,UPSM1,UWM,raw,ptr,-0.049949602192104745,1.0,0.030845099069424377,0.0019073509903717795,0.0024209967435529357,0.19520651031918734
26,UPSM1,UWM,raw,zscore,-0.0429401582280793,1.0,0.03049522555502423,0.0020118822814339378,0.006807243899322935,0.08824895582911614
27,UPSM1,UWM,raw,combat,-0.02644021464249551,1.0,0.031794739230858134,0.0016505197588734912,0.025027076757480934,0.004658190859768903
28,UPSM1,BNU2,raw,raw,0.06380776765734864,5.366984318049472e-05,0.030137710305398246,0.004113433326944929,0.08200647468485982,5.423597649828766e-06
29,UPSM1,BNU2,raw,ptr,-0.06230757467466914,1.0,0.02971579017420103,0.00434957929352836,0.04667936731020928,0.0004771149463361397
30,UPSM1,BNU2,raw,zscore,-0.05210523820121802,1.0,0.03009432242205428,0.004137103082482929,0.04834980824838878,0.0003849315997377375
