,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
192,MPG1,UPSM1,raw,0.9710359398303793,3.6592392760924516e-55,-0.0006368057223386259,0.35935051042692634
193,MPG1,UPSM1,ptr,,,,
194,MPG1,UPSM1,zscore,,,,
195,MPG1,UPSM1,combat,-0.012713626295013353,1.0,0.025274777836836283,0.006728810243327526
196,MPG1,IACAS,raw,0.9726051644734743,6.843500279477851e-19,-0.008079111894752068,0.552042358915252
197,MPG1,IACAS,ptr,,,,
198,MPG1,IACAS,zscore,,,,
199,MPG1,IACAS,combat,-0.07237828491450798,1.0,0.07417198779068758,0.008458372932593217
200,MPG1,BNU3,raw,0.972334039901719,1.5611776344244534e-16,-0.015194881870460253,1.0
201,MPG1,BNU3,ptr,,,,
202,MPG1,BNU3,zscore,,,,
203,MPG1,BNU3,combat,-0.07985517719513707,1.0,0.0009594699920301985,0.30180457850911424
204,MPG1,JHNU,raw,0.9741189633080009,3.9312246082075273e-19,0.005829829515573975,0.22499635401012735
205,MPG1,JHNU,ptr,,,,
206,MPG1,JHNU,zscore,,,,
207,MPG1,JHNU,combat,-0.06598636668474323,1.0,0.01871228127092647,0.11271794440373603
208,MPG1,Utah1,raw,0.9754230757955269,1.9387676383491568e-17,0.3710873651279237,1.1583992595909528e-07
209,MPG1,Utah1,ptr,,,,
210,MPG1,Utah1,zscore,,,,
211,MPG1,Utah1,combat,-0.07129501287830185,1.0,-0.0075470712752744645,0.502779877865861
212,MPG1,IBATRT,raw,0.9765275431343656,5.008110992897926e-17,-0.014957879057125248,1.0
213,MPG1,IBATRT,ptr,,,,
214,MPG1,IBATRT,zscore,,,,
215,MPG1,IBATRT,combat,-0.07581016400916737,1.0,0.010147766129932321,0.1896298038992143
216,MPG1,LMU3,raw,0.9725263645704051,5.783854554405452e-17,-0.008699424247078515,0.5363530928062052
217,MPG1,LMU3,ptr,,,,
218,MPG1,LMU3,zscore,,,,
219,MPG1,LMU3,combat,-0.08186007128509086,1.0,0.004105388170985337,0.2557749133955508
220,MPG1,SWU1,raw,0.9781090273127179,5.476276897405725e-19,0.041279601063059466,0.03805934286028694
221,MPG1,SWU1,ptr,,,,
222,MPG1,SWU1,zscore,,,,
223,MPG1,SWU1,combat,-0.07363091450663944,1.0,0.06307334236116235,0.013938883498202348
224,MPG1,IPCAS5,raw,0.9533648477842034,2.100160141591755e-15,0.35407491512945327,9.559458528915464e-07
225,MPG1,IPCAS5,ptr,,,,
226,MPG1,IPCAS5,zscore,,,,
227,MPG1,IPCAS5,combat,-0.045959816558497395,1.0,-0.0002139569912166965,0.3206992080596063
228,IPCAS8,NYU1,raw,0.3493031992529689,1.709418358134484e-09,0.06502185282576319,0.005943981870306841
229,IPCAS8,NYU1,ptr,-0.1416533982547943,1.0,0.08181766416971639,0.0023375512456107533
230,IPCAS8,NYU1,zscore,-0.12294909639086142,1.0,0.0805734437317822,0.0025036586337031145
231,IPCAS8,NYU1,combat,-0.04770411882242694,1.0,0.07780002563864297,0.002918386854306415
232,IPCAS8,SWU2,raw,0.21271125506062677,2.1895249635695978e-05,0.04158094951104509,0.037523858078321565
233,IPCAS8,SWU2,ptr,-0.1672951398937953,1.0,0.05129685040091833,0.023874202946098842
234,IPCAS8,SWU2,zscore,-0.14977909300738887,1.0,0.05501243019788879,0.020125281689192594
235,IPCAS8,SWU2,combat,-0.057763572748748375,1.0,0.04727286193248086,0.028761557755510436
236,IPCAS8,BNU2,raw,0.11067356964881529,0.00011069864927165607,0.045847795207976584,0.009234916073788558
237,IPCAS8,BNU2,ptr,-0.0975217396042904,1.0,0.04418249550780072,0.01038872469689015
238,IPCAS8,BNU2,zscore,-0.08877880938294867,1.0,0.04351431446929946,0.01089230437087846
239,IPCAS8,BNU2,combat,-0.03836277594681183,1.0,0.04213070485838066,0.012016257259531557
